CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Mobile Media v3;1.000;1.000;1.000;0.001;1;1.000;1.000;1.000;0.001;1
drupal sawsen;1.000;1.000;1.000;0.008;1;1.000;1.000;1.000;0.008;1
Example Mobile Phone;1.000;0.714;0.833;0.014;1;1.000;0.714;0.833;0.014;1
Basic Car;1.000;1.000;1.000;0.008;1;1.000;1.000;1.000;0.008;1
SPL Studies;0.500;0.032;0.061;0.061;1;0.500;0.032;0.061;0.061;1
testISA2012;1.000;0.714;0.833;0.014;1;1.000;0.714;0.833;0.014;1
Match engine;1.000;1.000;1.000;0.016;1;1.000;1.000;1.000;0.016;1
Cell-Phone-SPL-2014-without;0.000;0.000;0.000;0.047;1;0.000;0.000;0.000;0.000;0
Car;0.750;1.000;0.833;0.015;2;0.750;1.000;0.833;0.015;2
mobile phone;0.650;1.000;0.788;0.025;1;0.650;1.000;0.788;0.025;1
MyFM;1.000;0.579;0.733;0.019;1;1.000;0.579;0.733;0.019;1
Assistente de Compras;0.500;0.333;0.400;0.012;1;0.500;0.333;0.400;0.012;1
Mobile Phone;1.000;0.929;0.962;0.014;2;1.000;0.929;0.962;0.014;2
SAL;0.500;0.333;0.400;0.012;1;0.500;0.333;0.400;0.012;1
Guad gmocht!;1.000;1.000;1.000;0.020;1;1.000;1.000;1.000;0.020;1
ROOT;1.000;1.000;1.000;0.047;1;1.000;1.000;1.000;0.047;1
UPT_RM_MOBILE;1.000;0.857;0.923;0.014;1;1.000;0.857;0.923;0.014;1
Mobile Phone UPT - 18413;1.000;1.000;1.000;0.014;1;1.000;1.000;1.000;0.014;1
SPL_e_commerce;0.500;1.000;0.667;0.027;1;0.500;1.000;0.667;0.027;1
Analisis;0.750;1.000;0.857;0.003;1;0.750;1.000;0.857;0.003;1
anlisis II;1.000;1.000;1.000;0.027;1;1.000;1.000;1.000;0.027;1
Autosoft;0.750;1.000;0.833;0.087;2;0.750;1.000;0.833;0.087;2
PC model;0.692;1.000;0.818;0.009;1;0.692;1.000;0.818;0.009;1
ESCA Embeeded System;0.000;0.000;0.000;0.005;1;0.000;0.000;0.000;0.000;0
Telefono;1.000;0.429;0.600;0.007;1;1.000;0.429;0.600;0.007;1
Phone;1.000;1.000;1.000;0.045;1;1.000;1.000;1.000;0.045;1
celular;1.000;1.000;1.000;0.011;1;1.000;1.000;1.000;0.011;1
Match de foot;1.000;1.000;1.000;0.008;1;1.000;1.000;1.000;0.008;1
CarExample;1.000;0.333;0.500;0.001;1;1.000;0.333;0.500;0.001;1
Eval_board;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.000;0
Sample;0.500;1.000;0.667;0.031;1;0.500;1.000;0.667;0.031;1
collapse_view_example;1.000;0.032;0.063;0.015;1;1.000;0.032;0.063;0.015;1
jjjjj;0.750;1.000;0.857;0.018;1;0.750;1.000;0.857;0.018;1
Modelo de Característica para Entidades Urbanas;1.000;1.000;1.000;0.250;1;1.000;1.000;1.000;0.250;1
acarlos_trab2_mobile;1.000;1.000;1.000;0.014;1;1.000;1.000;1.000;0.014;1
Telefonia Celular;1.000;1.000;1.000;0.035;1;1.000;1.000;1.000;0.035;1
Ökonomische Merkmale;1.000;1.000;1.000;0.023;1;1.000;1.000;1.000;0.023;1
erewr;1.000;1.000;1.000;0.012;1;1.000;1.000;1.000;0.012;1
Webshop_SPLE2014_Chalmers;1.000;1.000;1.000;0.004;1;1.000;1.000;1.000;0.004;1
