CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Mobile Phone GF;0.087;0.134;0.085;0.014;88;0.349;0.536;0.340;0.014;22
MK Andes;0.087;0.156;0.110;0.004;88;0.348;0.625;0.441;0.004;22
Computer Selection;0.000;0.000;0.000;0.002;88;0.000;0.000;0.000;0.000;0
HandlingSystem;0.014;0.125;0.025;0.000;88;0.111;1.000;0.200;0.000;11
Modelo;0.122;0.094;0.094;0.004;88;0.487;0.375;0.376;0.004;22
MyFeatureModel;0.295;0.129;0.157;0.017;88;0.591;0.257;0.315;0.017;44
Mobile Game;0.661;0.667;0.659;0.132;88;0.755;0.762;0.753;0.132;77
votacao eletronica;0.149;0.196;0.168;0.007;88;0.397;0.524;0.448;0.007;33
Online Shop Feature Model;0.347;0.143;0.180;0.010;88;0.463;0.190;0.240;0.010;66
Mobile Tourist Planner;0.438;0.277;0.276;0.027;88;0.583;0.369;0.368;0.027;66
VOD feature model;0.504;0.379;0.411;0.016;88;0.807;0.606;0.657;0.016;55
Asghar;0.341;0.242;0.241;0.016;88;0.454;0.323;0.321;0.016;66
Minimalistic PC Feature Model;0.013;0.031;0.018;0.004;88;0.106;0.250;0.147;0.004;11
Rotary_Element;0.164;0.073;0.067;0.012;88;0.654;0.292;0.267;0.012;22
MiniRPG;0.328;0.164;0.174;0.002;88;0.656;0.328;0.348;0.002;44
ETRobocon;0.916;0.905;0.903;0.059;88;0.916;0.905;0.903;0.059;88
Telecommunication_System;0.240;0.097;0.116;0.004;88;0.480;0.194;0.231;0.004;44
AllSports Feature Model;0.272;0.208;0.219;0.023;88;0.544;0.417;0.439;0.023;44
Movil;0.235;0.138;0.161;0.007;88;0.469;0.277;0.323;0.007;44
Tata Cars;0.212;0.161;0.159;0.003;88;0.424;0.323;0.318;0.003;44
ZMUConcernExample;0.154;0.141;0.142;0.004;88;0.412;0.375;0.377;0.004;33
aaaaaa;0.509;0.305;0.341;0.008;88;0.814;0.488;0.545;0.008;55
FeatureModelName;0.209;0.156;0.167;0.002;88;0.418;0.313;0.334;0.002;44
E-portal;0.298;0.172;0.179;0.008;88;0.597;0.344;0.358;0.008;44
Toyota Feature Model;0.236;0.070;0.085;0.002;88;0.473;0.141;0.171;0.002;44
Mobile Phone UPT;0.217;0.134;0.147;0.014;88;0.433;0.268;0.293;0.014;44
Test1;0.065;0.078;0.069;0.008;88;0.260;0.313;0.276;0.008;22
carpl;0.000;0.000;0.000;0.002;88;0.000;0.000;0.000;0.000;0
Javed Test 2;0.776;0.707;0.727;0.055;88;0.776;0.707;0.727;0.055;88
Loja Virtual;0.628;0.632;0.603;0.027;88;0.718;0.722;0.689;0.027;77
This is a test;0.583;0.383;0.413;0.032;88;0.667;0.437;0.472;0.032;77
hhhhhhh;0.025;0.063;0.035;0.004;88;0.197;0.500;0.282;0.004;11
eLearning ways;0.913;0.807;0.855;0.097;88;0.913;0.807;0.855;0.097;88
Final model;0.243;0.125;0.147;0.003;88;0.486;0.250;0.294;0.003;44
MobilePhone;0.238;0.141;0.138;0.002;88;0.476;0.281;0.276;0.002;44
FM with optional XOR;0.195;0.095;0.122;0.005;88;0.390;0.190;0.244;0.005;44
SmartHome- Simplified Sample;0.289;0.263;0.228;0.005;88;0.578;0.525;0.456;0.005;44
MoviesApp PL;0.247;0.115;0.132;0.003;88;0.395;0.183;0.211;0.003;55
SmartHome_vConejero_r1;0.024;0.063;0.034;0.001;88;0.189;0.500;0.273;0.001;11
Reservation;0.163;0.125;0.107;0.002;88;0.327;0.250;0.215;0.002;44
test 3;0.323;0.199;0.230;0.031;88;0.430;0.266;0.306;0.031;66
tab;0.190;0.070;0.084;0.004;88;0.507;0.188;0.225;0.004;33
CFDP Library;0.872;0.734;0.777;0.058;176;0.872;0.734;0.777;0.058;176
TEST_NAme;0.498;0.295;0.361;0.035;88;0.663;0.394;0.481;0.035;66
ABMS;0.850;0.774;0.808;0.060;88;0.850;0.774;0.808;0.060;88
Text Editor;0.157;0.034;0.047;0.003;88;0.629;0.136;0.190;0.003;22
PortafolioLopez;0.525;0.420;0.439;0.010;88;0.600;0.480;0.502;0.010;77
FMConfig;0.432;0.199;0.238;0.016;88;0.576;0.265;0.318;0.016;66
SimpleModel;0.249;0.151;0.157;0.012;88;0.399;0.242;0.251;0.012;55
Ubuntu;0.041;0.104;0.054;0.006;88;0.164;0.417;0.218;0.006;22
Prontuário Eletrônico de Pacientes;0.140;0.063;0.078;0.010;88;0.559;0.250;0.312;0.010;22
mo;0.653;0.546;0.564;0.029;88;0.746;0.624;0.644;0.029;77
JDFM;0.168;0.063;0.082;0.010;88;0.447;0.167;0.218;0.010;33
ubuntu;0.273;0.188;0.158;0.009;88;0.546;0.375;0.316;0.009;44
Imolementacion II;0.000;0.000;0.000;0.001;88;0.000;0.000;0.000;0.000;0
Topology;0.135;0.023;0.038;0.004;88;0.360;0.063;0.100;0.004;33
TW SPL Hard Choices;0.103;0.094;0.097;0.001;88;0.823;0.750;0.776;0.001;11
Mobile Media v3;0.000;0.000;0.000;0.001;88;0.000;0.000;0.000;0.000;0
drupal sawsen;0.192;0.094;0.100;0.008;88;0.769;0.375;0.398;0.008;22
Example Mobile Phone;0.247;0.080;0.101;0.014;88;0.494;0.161;0.202;0.014;44
Magister 2014-ROLOG;0.463;0.319;0.343;0.012;88;0.618;0.425;0.457;0.012;66
Cell-Phone-SPL-2014-without;0.289;0.263;0.259;0.047;88;0.385;0.351;0.346;0.047;66
Car;0.287;0.238;0.227;0.011;264;0.492;0.408;0.389;0.012;154
Content;0.591;0.495;0.514;0.020;264;0.676;0.565;0.587;0.021;231
MyFM;0.123;0.079;0.087;0.019;88;0.246;0.158;0.175;0.019;44
M-learning Requirements Catalog;0.800;0.736;0.763;0.034;88;0.914;0.841;0.872;0.034;77
Pruebas;0.195;0.071;0.096;0.002;88;0.519;0.190;0.256;0.002;33
Aircraft PL;0.705;0.621;0.649;0.038;88;0.806;0.709;0.742;0.038;77
SAL;0.084;0.083;0.082;0.012;88;0.336;0.333;0.329;0.012;22
Doorlopende reisverzekering;0.815;0.785;0.799;0.016;88;0.931;0.897;0.913;0.016;77
Guad gmocht!;0.302;0.213;0.239;0.020;88;0.483;0.340;0.383;0.020;55
Mobile Phone UPT - 18413;0.061;0.027;0.037;0.014;88;0.246;0.107;0.146;0.014;22
