CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
JDFM;0.000;0.000;0.000;0.010;1;0.000;0.000;0.000;0.010;1
NovoSiga;0.000;0.000;0.000;0.010;1;0.000;0.000;0.000;0.010;1
ubuntu;0.500;0.333;0.400;0.009;1;0.500;0.333;0.400;0.009;1
testing;1.000;1.000;1.000;0.125;1;1.000;1.000;1.000;0.125;1
Rotation1;1.000;0.600;0.750;0.005;1;1.000;0.600;0.750;0.005;1
Imolementacion II;0.750;1.000;0.857;0.001;1;0.750;1.000;0.857;0.001;1
Cellphone;0.000;0.000;0.000;0.007;1;0.000;0.000;0.000;0.000;0
Mobile Media v3;1.000;1.000;1.000;0.001;1;1.000;1.000;1.000;0.001;1
Jogo;1.000;1.000;1.000;0.002;1;1.000;1.000;1.000;0.002;1
desordem;0.750;0.214;0.333;0.027;1;0.750;0.214;0.333;0.027;1
Basic Car;0.652;0.938;0.769;0.008;1;0.652;0.938;0.769;0.008;1
1;1.000;1.000;1.000;0.007;1;1.000;1.000;1.000;0.007;1
Sylvain Example;0.750;0.300;0.429;0.005;1;0.750;0.300;0.429;0.005;1
Car;1.000;0.500;0.667;0.006;1;1.000;0.500;0.667;0.006;1
HandlingSystem;1.000;1.000;1.000;0.000;1;1.000;1.000;1.000;0.000;1
Assistente de Compras;0.000;0.000;0.000;0.012;1;0.000;0.000;0.000;0.000;0
MyFeatureModel;0.000;0.000;0.000;0.017;1;0.000;0.000;0.000;0.000;0
ROOT;1.000;1.000;1.000;0.047;1;1.000;1.000;1.000;0.047;1
SPL_e_commerce;0.000;0.000;0.000;0.027;1;0.000;0.000;0.000;0.000;0
Website;1.000;1.000;1.000;0.031;1;1.000;1.000;1.000;0.031;1
VOD feature model;1.000;1.000;1.000;0.016;1;1.000;1.000;1.000;0.016;1
Mauricio Alférez;1.000;1.000;1.000;0.005;1;1.000;1.000;1.000;0.005;1
Asghar;0.656;0.656;0.656;0.016;1;0.656;0.656;0.656;0.016;1
Analisis;0.600;0.500;0.545;0.003;1;0.600;0.500;0.545;0.003;1
Autosoft;0.500;0.357;0.417;0.055;1;0.500;0.357;0.417;0.055;1
PC model;1.000;0.111;0.200;0.009;1;1.000;0.111;0.200;0.009;1
ESCA Embeeded System;0.000;0.000;0.000;0.005;1;0.000;0.000;0.000;0.005;1
Match de foot;1.000;1.000;1.000;0.008;1;1.000;1.000;1.000;0.008;1
CarExample;0.000;0.000;0.000;0.001;1;0.000;0.000;0.000;0.000;0
ETRobocon;1.000;1.000;1.000;0.059;1;1.000;1.000;1.000;0.059;1
asdsfa ewtwwe;0.600;0.500;0.545;0.006;1;0.600;0.500;0.545;0.006;1
ZMUConcernExample;0.875;0.875;0.875;0.004;1;0.875;0.875;0.875;0.004;1
collapse_view_example;0.000;0.000;0.000;0.015;1;0.000;0.000;0.000;0.000;0
E-portal;0.750;0.750;0.750;0.008;1;0.750;0.750;0.750;0.008;1
Modelo de Característica para Entidades Urbanas;1.000;1.000;1.000;0.250;1;1.000;1.000;1.000;0.250;1
r;0.000;0.000;0.000;0.041;1;0.000;0.000;0.000;0.000;0
poker spl;0.643;0.429;0.514;0.010;1;0.643;0.429;0.514;0.010;1
erewr;1.000;0.167;0.286;0.012;1;1.000;0.167;0.286;0.012;1
