CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Online Shop Feature Model;0.219;0.083;0.121;0.010;4;0.875;0.333;0.483;0.010;1
Mobile Tourist Planner;0.000;0.000;0.000;0.027;4;0.000;0.000;0.000;0.000;0
VOD feature model;0.500;0.500;0.500;0.016;4;1.000;1.000;1.000;0.016;2
Asghar;0.465;0.367;0.395;0.016;4;0.931;0.734;0.789;0.016;2
Minimalistic PC Feature Model;0.250;0.250;0.250;0.004;4;1.000;1.000;1.000;0.004;1
Rotary_Element;0.250;0.083;0.125;0.012;4;1.000;0.333;0.500;0.012;1
MiniRPG;0.500;0.500;0.500;0.002;4;1.000;1.000;1.000;0.002;2
ETRobocon;0.484;0.500;0.492;0.059;4;0.969;1.000;0.984;0.059;2
Telecommunication_System;0.188;0.042;0.068;0.004;4;0.750;0.167;0.273;0.004;1
AllSports Feature Model;0.407;0.500;0.449;0.023;4;0.814;1.000;0.897;0.023;2
Movil;0.417;0.214;0.265;0.007;4;0.833;0.429;0.530;0.007;2
Tata Cars;0.250;0.125;0.167;0.003;4;1.000;0.500;0.667;0.003;1
ZMUConcernExample;0.438;0.438;0.438;0.004;4;0.875;0.875;0.875;0.004;2
aaaaaa;0.500;0.500;0.500;0.008;4;1.000;1.000;1.000;0.008;2
FeatureModelName;0.000;0.000;0.000;0.002;4;0.000;0.000;0.000;0.000;0
E-portal;0.417;0.500;0.450;0.008;4;0.833;1.000;0.900;0.008;2
Toyota Feature Model;0.401;0.344;0.368;0.002;4;0.802;0.688;0.737;0.002;2
Mobile Phone UPT;0.354;0.250;0.290;0.014;4;0.708;0.500;0.580;0.014;2
Test1;0.250;0.250;0.250;0.008;4;1.000;1.000;1.000;0.008;1
carpl;0.250;0.250;0.250;0.002;4;1.000;1.000;1.000;0.002;1
Javed Test 2;0.429;0.429;0.429;0.055;4;0.857;0.857;0.857;0.055;2
Nudelsalat;0.500;0.375;0.417;0.012;4;1.000;0.750;0.833;0.012;2
Loja Virtual;0.444;0.500;0.469;0.027;4;0.889;1.000;0.938;0.027;2
This is a test;0.414;0.235;0.267;0.032;4;0.829;0.470;0.533;0.032;2
hhhhhhh;0.000;0.000;0.000;0.004;4;0.000;0.000;0.000;0.000;0
eLearning ways;0.494;0.500;0.497;0.097;4;0.989;1.000;0.994;0.097;2
Final model;0.475;0.341;0.391;0.003;4;0.950;0.682;0.782;0.003;2
MobilePhone;0.250;0.063;0.100;0.002;4;1.000;0.250;0.400;0.002;1
FM with optional XOR;0.446;0.488;0.466;0.005;4;0.892;0.976;0.932;0.005;2
SmartHome- Simplified Sample;0.500;0.500;0.500;0.005;4;1.000;1.000;1.000;0.005;2
MoviesApp PL;0.250;0.083;0.125;0.003;4;1.000;0.333;0.500;0.003;1
SmartHome_vConejero_r1;0.500;0.500;0.500;0.001;4;1.000;1.000;1.000;0.001;2
Reservation;0.000;0.000;0.000;0.002;4;0.000;0.000;0.000;0.000;0
test 3;0.414;0.313;0.354;0.031;4;0.829;0.625;0.708;0.031;2
tab;0.250;0.125;0.167;0.004;4;1.000;0.500;0.667;0.004;1
CFDP Library;0.499;0.500;0.500;0.058;8;0.999;0.999;0.999;0.058;4
TEST_NAme;0.500;0.500;0.500;0.035;4;1.000;1.000;1.000;0.035;2
ABMS;0.498;0.500;0.499;0.060;4;0.996;1.000;0.998;0.060;2
Text Editor;0.500;0.318;0.371;0.003;4;1.000;0.636;0.743;0.003;2
PortafolioLopez;0.413;0.202;0.214;0.010;4;0.826;0.405;0.428;0.010;2
FMConfig;0.500;0.194;0.279;0.016;4;1.000;0.389;0.558;0.016;2
SimpleModel;0.000;0.000;0.000;0.012;4;0.000;0.000;0.000;0.000;0
Ubuntu;0.000;0.000;0.000;0.006;4;0.000;0.000;0.000;0.000;0
Prontuário Eletrônico de Pacientes;0.500;0.500;0.500;0.010;4;1.000;1.000;1.000;0.010;2
mo;0.500;0.500;0.500;0.029;4;1.000;1.000;1.000;0.029;2
JDFM;0.000;0.000;0.000;0.010;4;0.000;0.000;0.000;0.000;0
ubuntu;0.250;0.083;0.125;0.009;4;1.000;0.333;0.500;0.009;1
Imolementacion II;0.000;0.000;0.000;0.001;4;0.000;0.000;0.000;0.000;0
Topology;0.000;0.000;0.000;0.004;4;0.000;0.000;0.000;0.000;0
TW SPL Hard Choices;0.500;0.500;0.500;0.001;4;1.000;1.000;1.000;0.001;2
Mobile Media v3;0.500;0.500;0.500;0.001;4;1.000;1.000;1.000;0.001;2
drupal sawsen;0.500;0.500;0.500;0.008;4;1.000;1.000;1.000;0.008;2
Example Mobile Phone;0.167;0.143;0.154;0.014;4;0.667;0.571;0.615;0.014;1
Magister 2014-ROLOG;0.500;0.333;0.375;0.012;4;1.000;0.667;0.750;0.012;2
Cell-Phone-SPL-2014-without;0.250;0.250;0.250;0.047;4;1.000;1.000;1.000;0.047;1
Car;0.291;0.319;0.302;0.011;12;0.872;0.958;0.906;0.010;4
Content;0.482;0.465;0.470;0.020;12;0.963;0.930;0.941;0.020;6
MyFM;0.250;0.026;0.048;0.019;4;1.000;0.105;0.190;0.019;1
M-learning Requirements Catalog;0.498;0.495;0.496;0.034;4;0.996;0.989;0.993;0.034;2
Pruebas;0.250;0.071;0.111;0.002;4;1.000;0.286;0.444;0.002;1
Aircraft PL;0.500;0.108;0.170;0.038;4;1.000;0.216;0.340;0.038;2
SAL;0.000;0.000;0.000;0.012;4;0.000;0.000;0.000;0.000;0
Doorlopende reisverzekering;0.500;0.500;0.500;0.016;4;1.000;1.000;1.000;0.016;2
Guad gmocht!;0.458;0.500;0.477;0.020;4;0.917;1.000;0.955;0.020;2
Mobile Phone UPT - 18413;0.354;0.250;0.290;0.014;4;0.708;0.500;0.580;0.014;2
SPL_e_commerce;0.250;0.241;0.245;0.027;4;1.000;0.964;0.982;0.027;1
Analisis;0.125;0.125;0.125;0.002;8;1.000;1.000;1.000;0.003;1
Autosoft;0.375;0.375;0.375;0.087;8;1.000;1.000;1.000;0.098;3
PC model;0.500;0.306;0.341;0.009;4;1.000;0.611;0.682;0.009;2
Telefono;0.000;0.000;0.000;0.007;4;0.000;0.000;0.000;0.000;0
Phone;0.500;0.495;0.497;0.027;8;1.000;0.989;0.994;0.027;4
NCV_Simulation;0.000;0.000;0.000;0.002;4;0.000;0.000;0.000;0.000;0
celular;0.000;0.000;0.000;0.011;4;0.000;0.000;0.000;0.000;0
Eval_board;0.000;0.000;0.000;0.002;4;0.000;0.000;0.000;0.000;0
collapse_view_example;0.223;0.202;0.212;0.015;4;0.893;0.806;0.847;0.015;1
jjjjj;0.384;0.444;0.412;0.018;4;0.768;0.889;0.824;0.018;2
Modelo de Característica para Entidades Urbanas;0.625;0.750;0.667;0.250;4;0.833;1.000;0.889;0.250;3
2 - Eleição de um prefeito e um Vereador;0.441;0.500;0.467;0.006;4;0.883;1.000;0.934;0.006;2
MoviesApp;0.250;0.056;0.091;0.007;4;1.000;0.222;0.364;0.007;1
erewr;0.250;0.250;0.250;0.012;4;1.000;1.000;1.000;0.012;1
Webshop_SPLE2014_Chalmers;0.450;0.500;0.472;0.004;4;0.900;1.000;0.944;0.004;2
Movie System;0.250;0.083;0.125;0.003;4;1.000;0.333;0.500;0.003;1
Eshop-ufrj;0.229;0.115;0.153;0.012;4;0.917;0.458;0.611;0.012;1
