CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IntelligentTutoringSystem;1.000;1.000;1.000;0.021;2;1.000;1.000;1.000;0.021;2
Multiplicador de n matrices;0.250;0.056;0.091;0.004;2;0.500;0.111;0.182;0.004;1
ETRobocon;0.969;1.000;0.984;0.059;2;0.969;1.000;0.984;0.059;2
Telecommunication_System;0.300;0.500;0.375;0.004;2;0.600;1.000;0.750;0.004;1
a;0.938;1.000;0.967;0.010;2;0.938;1.000;0.967;0.010;2
Content model;0.959;1.000;0.979;0.022;2;0.959;1.000;0.979;0.022;2
AllSports Feature Model;0.814;1.000;0.897;0.023;2;0.814;1.000;0.897;0.023;2
Movil;0.850;1.000;0.912;0.007;2;0.850;1.000;0.912;0.007;2
asdsfa ewtwwe;0.800;1.000;0.875;0.006;2;0.800;1.000;0.875;0.006;2
ZMUConcernExample;0.838;0.938;0.882;0.004;2;0.838;0.938;0.882;0.004;2
aaaaaa;1.000;1.000;1.000;0.008;2;1.000;1.000;1.000;0.008;2
Feature Tree Example;0.750;1.000;0.833;0.008;2;0.750;1.000;0.833;0.008;2
FeatureModelName;0.500;1.000;0.667;0.002;2;0.500;1.000;0.667;0.002;2
Dental Surgery;1.000;1.000;1.000;0.002;2;1.000;1.000;1.000;0.002;2
E-portal;0.833;1.000;0.900;0.008;2;0.833;1.000;0.900;0.008;2
disenio II;0.941;1.000;0.969;0.029;2;0.941;1.000;0.969;0.029;2
Mobile Phone UPT;0.800;0.929;0.858;0.014;2;0.800;0.929;0.858;0.014;2
Test1;0.500;0.500;0.500;0.008;2;1.000;1.000;1.000;0.008;1
carpl;1.000;1.000;1.000;0.002;2;1.000;1.000;1.000;0.002;2
r;0.329;0.298;0.313;0.041;2;0.658;0.595;0.625;0.041;1
Nudelsalat;0.800;1.000;0.875;0.012;2;0.800;1.000;0.875;0.012;2
FeatureModel1;1.000;1.000;1.000;0.016;2;1.000;1.000;1.000;0.016;2
poker spl;0.759;0.929;0.828;0.010;2;0.759;0.929;0.828;0.010;2
Simnumero;0.819;0.875;0.846;0.008;2;0.819;0.875;0.846;0.008;2
abcdefg;0.600;1.000;0.750;0.006;2;0.600;1.000;0.750;0.006;2
Mobile-Phone;0.813;0.857;0.833;0.014;2;0.813;0.857;0.833;0.014;2
WebApp;1.000;1.000;1.000;0.156;2;1.000;1.000;1.000;0.156;2
Loja Virtual;0.880;1.000;0.933;0.027;2;0.880;1.000;0.933;0.027;2
This is a test;0.600;1.000;0.750;0.032;2;0.600;1.000;0.750;0.032;2
hhhhhhh;0.500;1.000;0.667;0.004;2;0.500;1.000;0.667;0.004;2
eLearning ways;0.991;1.000;0.996;0.097;2;0.991;1.000;0.996;0.097;2
Matrix chain multiplication;0.269;0.233;0.250;0.007;2;0.538;0.467;0.500;0.007;1
Phone sple;0.872;1.000;0.931;0.026;2;0.872;1.000;0.931;0.026;2
Final model;0.875;0.773;0.812;0.003;2;0.875;0.773;0.812;0.003;2
Manuel;0.783;0.944;0.855;0.009;2;0.783;0.944;0.855;0.009;2
FM with optional XOR;0.905;0.905;0.904;0.005;2;0.905;0.905;0.904;0.005;2
SmartHome- Simplified Sample;1.000;1.000;1.000;0.005;2;1.000;1.000;1.000;0.005;2
Mobile phone (lenita);0.813;0.857;0.833;0.014;2;0.813;0.857;0.833;0.014;2
SmartHome_vConejero_r1;1.000;1.000;1.000;0.001;2;1.000;1.000;1.000;0.001;2
Reservation;0.333;0.222;0.267;0.002;2;0.667;0.444;0.533;0.002;1
test 3;0.754;0.875;0.810;0.031;2;0.754;0.875;0.810;0.031;2
27-5-207 test;0.728;1.000;0.822;0.021;2;0.728;1.000;0.822;0.021;2
tab;0.250;0.500;0.333;0.004;2;0.500;1.000;0.667;0.004;1
Congress Assistant;0.816;1.000;0.887;0.012;2;0.816;1.000;0.887;0.012;2
Test;0.463;0.589;0.517;0.010;4;0.617;0.786;0.689;0.012;3
